# x y z r p longitude latitude
-3.43000000e+05 3.19900000e+05 -3.44190000e+06 3.47370000e+06 0.00000000e+00 2.39102728e+00 -1.43538211e+00
-1.31000000e+05 -3.99000000e+04 -3.21420000e+06 3.21710000e+06 4.54130000e+09 -2.84593920e+00 -1.52833297e+00
3.66000000e+05 2.15700000e+05 -3.21070000e+06 3.23870000e+06 6.10280000e+09 5.32547554e-01 -1.43920658e+00
9.44000000e+05 1.76000000e+04 -3.31830000e+06 3.45000000e+06 2.49720000e+09 1.86419080e-02 -1.29359860e+00
7.20000000e+05 -1.77000000e+05 -3.32580000e+06 3.40750000e+06 2.63110000e+09 -2.41053266e-01 -1.35137458e+00
-9.53000000e+05 1.09400000e+05 -3.10660000e+06 3.25140000e+06 6.88260000e+09 3.02729758e+00 -1.27123264e+00
-8.97000000e+05 1.10300000e+05 -3.36850000e+06 3.48770000e+06 1.28440000e+09 3.01924142e+00 -1.30859897e+00
-6.92000000e+05 1.13000000e+04 -3.08530000e+06 3.16200000e+06 6.52430000e+09 3.12526463e+00 -1.35009062e+00
-5.92000000e+05 1.07770000e+06 -3.17480000e+06 3.40460000e+06 3.12090000e+09 2.07311577e+00 -1.20128261e+00
-3.90000000e+05 9.76000000e+04 -3.28270000e+06 3.30730000e+06 6.17690000e+09 2.89637268e+00 -1.44875264e+00
3.20000000e+05 -1.76000000e+04 -3.03290000e+06 3.04980000e+06 7.69260000e+09 -5.49446421e-02 -1.46547328e+00
-2.43000000e+05 6.06400000e+05 -3.13810000e+06 3.20540000e+06 5.55480000e+09 1.95192806e+00 -1.36551747e+00
3.84000000e+05 4.38500000e+05 -3.42120000e+06 3.47050000e+06 2.29640000e+09 8.51562841e-01 -1.40204084e+00
7.25000000e+05 6.94400000e+05 -3.00590000e+06 3.16910000e+06 5.97470000e+09 7.63843097e-01 -1.24847525e+00
2.53000000e+05 3.45700000e+05 -2.98870000e+06 3.01930000e+06 1.03870000e+10 9.39013796e-01 -1.42830447e+00
-1.43700000e+06 7.20000000e+03 -3.13460000e+06 3.44830000e+06 2.84420000e+09 3.13658226e+00 -1.14094481e+00
-9.91000000e+05 3.24500000e+05 -2.91610000e+06 3.09700000e+06 9.93310000e+09 2.82514910e+00 -1.22731695e+00
-8.05000000e+05 8.87100000e+05 -3.19430000e+06 3.41160000e+06 2.19110000e+09 2.30771292e+00 -1.21195836e+00
-6.40000000e+05 4.60300000e+05 -3.38840000e+06 3.47890000e+06 1.35350000e+09 2.51808431e+00 -1.34220260e+00
-5.26000000e+05 7.09300000e+05 -3.19920000e+06 3.31890000e+06 5.85310000e+09 2.20888437e+00 -1.30140787e+00
1.42000000e+05 5.50500000e+05 -3.46070000e+06 3.50710000e+06 2.93280000e+08 1.31835193e+00 -1.40794928e+00
-4.76000000e+05 9.23600000e+05 -3.34310000e+06 3.50090000e+06 5.59200000e+08 2.04666784e+00 -1.26940997e+00
1.00100000e+06 7.53000000e+05 -3.14710000e+06 3.38720000e+06 3.62080000e+09 6.44938119e-01 -1.19201369e+00
-1.14800000e+06 -6.77000000e+04 -3.24290000e+06 3.44080000e+06 1.59810000e+09 -3.08268875e+00 -1.22998655e+00
-8.77000000e+05 3.77500000e+05 -3.32850000e+06 3.46280000e+06 2.73260000e+09 2.73511935e+00 -1.29137920e+00
-7.67000000e+05 6.86700000e+05 -3.34910000e+06 3.50380000e+06 1.16180000e+09 2.41137677e+00 -1.27253186e+00
-1.80000000e+04 1.65020000e+06 -2.96140000e+06 3.39020000e+06 4.35040000e+09 1.58170366e+00 -1.06238259e+00
6.10000000e+04 1.05190000e+06 -2.90770000e+06 3.09280000e+06 7.96740000e+09 1.51287090e+00 -1.22307410e+00
4.23000000e+05 2.59000000e+04 -3.42850000e+06 3.45460000e+06 1.83330000e+09 6.11529693e-02 -1.44779489e+00
6.16000000e+05 3.19400000e+05 -3.36810000e+06 3.43890000e+06 2.10220000e+09 4.78342954e-01 -1.36752797e+00
9.03000000e+05 3.36600000e+05 -3.35530000e+06 3.49100000e+06 8.07650000e+08 3.56803173e-01 -1.29106125e+00
-1.06900000e+06 9.03800000e+05 -3.04940000e+06 3.35540000e+06 4.05240000e+09 2.43973843e+00 -1.14040781e+00
-1.01600000e+06 6.90000000e+05 -3.22810000e+06 3.45390000e+06 1.04350000e+09 2.54500851e+00 -1.20720210e+00
-3.08000000e+05 1.14120000e+06 -3.27250000e+06 3.47950000e+06 1.09420000e+09 1.83440688e+00 -1.22412439e+00
7.42000000e+05 4.05300000e+05 -2.93810000e+06 3.05740000e+06 1.06650000e+10 4.99941409e-01 -1.29052318e+00
9.35000000e+05 9.74700000e+05 -2.93610000e+06 3.23190000e+06 6.62220000e+09 8.06183775e-01 -1.13962035e+00
-1.22500000e+06 1.41090000e+06 -2.91840000e+06 3.46530000e+06 1.24940000e+09 2.28578488e+00 -1.00131020e+00
-7.65000000e+05 1.58190000e+06 -3.02710000e+06 3.50020000e+06 6.67680000e+08 2.02123456e+00 -1.04482421e+00
2.10000000e+05 7.08000000e+05 -2.94840000e+06 3.03950000e+06 7.33070000e+09 1.28245236e+00 -1.32534587e+00
-5.80000000e+04 1.01080000e+06 -3.24030000e+06 3.39480000e+06 1.60270000e+09 1.62811377e+00 -1.26794244e+00
2.73000000e+05 1.24140000e+06 -2.87620000e+06 3.14460000e+06 6.73470000e+09 1.35432901e+00 -1.15463466e+00
4.64000000e+05 9.42100000e+05 -3.29760000e+06 3.46080000e+06 2.17550000e+09 1.11315324e+00 -1.26247155e+00
2.72000000e+05 -1.60230000e+06 -2.88170000e+06 3.30840000e+06 7.13240000e+09 -1.40264335e+00 -1.05728559e+00
-9.30000000e+05 -1.43130000e+06 -3.02210000e+06 3.47090000e+06 1.01280000e+09 -2.14700208e+00 -1.05661643e+00
-3.41000000e+05 -1.55760000e+06 -3.13800000e+06 3.51990000e+06 8.99950000e+08 -1.78632251e+00 -1.10065130e+00
4.00000000e+03 -2.07640000e+06 -2.85320000e+06 3.52880000e+06 9.52960000e+08 -1.56886992e+00 -9.41678319e-01
-3.93000000e+05 -1.34030000e+06 -2.98730000e+06 3.29770000e+06 7.17860000e+09 -1.85601949e+00 -1.13343822e+00
3.26000000e+05 -2.30420000e+06 -2.53860000e+06 3.44390000e+06 2.95840000e+09 -1.43024837e+00 -8.28812472e-01
8.12000000e+05 -1.65860000e+06 -2.59890000e+06 3.18820000e+06 6.08270000e+09 -1.11552787e+00 -9.53009097e-01
-1.35900000e+06 -1.26320000e+06 -2.82130000e+06 3.37680000e+06 3.66300000e+09 -2.39271246e+00 -9.89033252e-01
-1.08300000e+06 -8.90300000e+05 -3.13800000e+06 3.43700000e+06 1.70430000e+09 -2.45353951e+00 -1.15059181e+00
-5.58000000e+05 -9.02800000e+05 -3.28420000e+06 3.45150000e+06 1.17850000e+09 -2.12440188e+00 -1.25816746e+00
-1.95000000e+05 -7.57000000e+05 -3.34640000e+06 3.43650000e+06 1.26800000e+09 -1.82291108e+00 -1.34130161e+00
-1.19000000e+05 -1.50170000e+06 -3.18730000e+06 3.52540000e+06 1.63440000e+09 -1.64987460e+00 -1.12925947e+00
-4.60000000e+04 -9.78700000e+05 -3.27460000e+06 3.41810000e+06 3.04510000e+09 -1.61776289e+00 -1.28000611e+00
