# ID x y z r p longitude latitude
87537 -1.78000000e+06 -8.90300000e+05 -2.50690000e+06 3.20090000e+06 6.36930000e+09 -2.67781022e+00 -8.99773314e-01
87538 -1.79400000e+06 -1.13170000e+06 -2.35330000e+06 3.16820000e+06 6.98830000e+09 -2.57881556e+00 -8.37224488e-01
87540 -9.86000000e+05 -5.41200000e+05 -2.74510000e+06 2.96660000e+06 1.14290000e+10 -2.63960637e+00 -1.18191925e+00
87553 -2.07000000e+06 -5.92000000e+05 -2.72340000e+06 3.47170000e+06 1.21610000e+09 -2.86303779e+00 -9.01820388e-01
87555 -1.49300000e+06 -4.53700000e+05 -2.20760000e+06 2.70340000e+06 1.69770000e+10 -2.84657565e+00 -9.55498049e-01
87570 -2.01500000e+06 -1.29400000e+05 -2.76360000e+06 3.42270000e+06 3.10870000e+09 -3.07746235e+00 -9.39787460e-01
87571 -1.66200000e+06 -3.82800000e+05 -2.42690000e+06 2.96630000e+06 9.98380000e+09 -2.91521570e+00 -9.58198947e-01
87572 -1.38100000e+06 -3.11400000e+05 -2.44750000e+06 2.82750000e+06 1.19190000e+10 -2.91981304e+00 -1.04635867e+00
87575 -6.34000000e+05 -7.04000000e+04 -2.36400000e+06 2.44860000e+06 1.71110000e+10 -3.03100468e+00 -1.30716339e+00
87577 4.10000000e+04 -2.45100000e+05 -2.19700000e+06 2.21100000e+06 2.10250000e+10 -1.40505225e+00 -1.45820263e+00
87578 1.41000000e+05 -3.17200000e+05 -2.46270000e+06 2.48710000e+06 1.53640000e+10 -1.15251350e+00 -1.43060570e+00
87579 4.80000000e+04 -5.14100000e+05 -2.15970000e+06 2.22060000e+06 1.97820000e+10 -1.47769917e+00 -1.33605689e+00
87580 4.15000000e+05 -4.93400000e+05 -2.46360000e+06 2.54660000e+06 1.93680000e+10 -8.71490421e-01 -1.31478431e+00
87585 -1.71300000e+06 1.13300000e+05 -3.01360000e+06 3.46830000e+06 9.96970000e+08 3.07554758e+00 -1.05297227e+00
87588 -1.18300000e+06 -1.83100000e+05 -2.31000000e+06 2.60180000e+06 1.71180000e+10 -2.98803511e+00 -1.09264454e+00
87591 -2.99000000e+05 -8.64000000e+04 -2.67460000e+06 2.69270000e+06 1.39880000e+10 -2.86029186e+00 -1.45478407e+00
87601 -2.02400000e+06 5.44800000e+05 -2.69840000e+06 3.41690000e+06 3.12630000e+09 2.87865462e+00 -9.10355176e-01
87618 -2.24400000e+06 4.46400000e+05 -2.58440000e+06 3.45170000e+06 1.15080000e+09 2.94522569e+00 -8.46147888e-01
87619 -2.02300000e+06 2.59700000e+05 -2.67760000e+06 3.36600000e+06 4.72130000e+09 3.01391725e+00 -9.19806294e-01
87621 -1.54500000e+06 3.77200000e+05 -2.38630000e+06 2.86770000e+06 1.09820000e+10 2.90213458e+00 -9.82937933e-01
87622 -1.09800000e+06 1.16000000e+05 -2.38550000e+06 2.62870000e+06 1.57540000e+10 3.03633646e+00 -1.13725264e+00
87623 -1.08000000e+06 2.99200000e+05 -2.13210000e+06 2.40870000e+06 1.63410000e+10 2.87133361e+00 -1.08685125e+00
87624 -8.26000000e+05 2.93900000e+05 -2.54550000e+06 2.69230000e+06 1.35130000e+10 2.79975028e+00 -1.23904728e+00
87625 -3.85000000e+05 3.25900000e+05 -2.48770000e+06 2.53840000e+06 1.66670000e+10 2.43913782e+00 -1.37059615e+00
87634 -1.94200000e+06 1.13600000e+05 -2.91390000e+06 3.50360000e+06 6.11120000e+08 3.08316284e+00 -9.82139840e-01
87636 -1.57600000e+06 6.45800000e+05 -2.44300000e+06 2.97810000e+06 1.00920000e+10 2.75269099e+00 -9.61973268e-01
87637 -1.29800000e+06 5.91400000e+05 -2.55680000e+06 2.92780000e+06 1.00430000e+10 2.71407163e+00 -1.06190191e+00
87639 -5.29000000e+05 5.13600000e+05 -2.28960000e+06 2.40540000e+06 1.76160000e+10 2.37096418e+00 -1.25924220e+00
87649 -2.35400000e+06 8.96800000e+05 -2.42370000e+06 3.49570000e+06 1.19340000e+09 2.77759956e+00 -7.66110309e-01
87651 -1.89500000e+06 7.02100000e+05 -2.46330000e+06 3.18620000e+06 6.79060000e+09 2.78677185e+00 -8.83738237e-01
87653 -1.30100000e+06 5.14200000e+05 -2.28490000e+06 2.67920000e+06 1.35040000e+10 2.76520126e+00 -1.02137952e+00
87668 -1.81900000e+06 9.19300000e+05 -2.85360000e+06 3.50670000e+06 1.50610000e+09 2.67364428e+00 -9.50586502e-01
87669 -1.87500000e+06 1.03180000e+06 -2.42250000e+06 3.23250000e+06 7.63660000e+09 2.63852426e+00 -8.47185567e-01
