# ID x y z r p longitude latitude
37309 -5.68960000e+06 -2.39150000e+06 -3.89520000e+05 6.18410000e+06 3.04200000e+09 -2.74368561e+00 -6.30290624e-02
38909 0.00000000e+00 -5.69500000e+06 -3.72740000e+05 5.70720000e+06 2.01470000e+10 -1.57079633e+00 -6.53570042e-02
38915 7.59090000e+05 -5.54860000e+06 -4.13130000e+04 5.60040000e+06 1.90660000e+10 -1.43483289e+00 -7.37686142e-03
38917 1.58610000e+06 -5.88070000e+06 -7.39440000e+05 6.13560000e+06 4.72610000e+09 -1.30735221e+00 -1.20809988e-01
38923 7.03000000e+04 -6.00440000e+06 3.60540000e+04 6.00490000e+06 1.18450000e+10 -1.55908878e+00 6.00413273e-03
38928 9.31470000e+05 -5.80270000e+06 3.12630000e+05 5.88530000e+06 1.48770000e+10 -1.41163063e+00 5.31455009e-02
38953 1.29220000e+06 -5.28950000e+06 1.00720000e+04 5.44510000e+06 3.03680000e+10 -1.33119396e+00 1.84973752e-03
38958 2.52160000e+06 -5.10940000e+06 -5.79110000e+04 5.69810000e+06 2.04260000e+10 -1.11234474e+00 -1.01633873e-02
38975 1.35070000e+06 -5.16960000e+06 -2.24400000e+05 5.34780000e+06 3.05590000e+10 -1.31523206e+00 -4.19735039e-02
38990 -1.46230000e+06 -4.82120000e+06 3.02510000e+04 5.03820000e+06 4.12160000e+10 -1.86528359e+00 6.00436302e-03
38992 -7.66500000e+05 -5.14550000e+06 -2.21570000e+04 5.20230000e+06 3.85090000e+10 -1.71867401e+00 -4.25909059e-03
39004 1.83000000e+06 -5.22810000e+06 9.03690000e+04 5.53990000e+06 2.73830000e+10 -1.23409339e+00 1.63131118e-02
39043 -4.52710000e+06 -3.84340000e+06 -1.19300000e+06 6.05720000e+06 9.03590000e+09 -2.43769328e+00 -1.98251814e-01
39059 -2.51900000e+05 -3.96670000e+06 -1.37820000e+05 3.97710000e+06 9.20150000e+10 -1.63421484e+00 -3.46603300e-02
39062 4.33500000e+05 -4.34070000e+06 -1.45740000e+05 4.36470000e+06 7.22390000e+10 -1.47125769e+00 -3.33968189e-02
39098 8.99000000e+04 -3.73470000e+06 -3.41490000e+05 3.75140000e+06 9.66610000e+10 -1.54672943e+00 -9.11562061e-02
39121 -3.54450000e+06 -3.92960000e+06 -3.14760000e+05 5.30130000e+06 3.49170000e+10 -2.30471541e+00 -5.94090564e-02
39131 -1.03390000e+06 -3.55150000e+06 -2.93000000e+05 3.71050000e+06 1.04400000e+11 -1.85408326e+00 -7.90473945e-02
39198 -3.73550000e+06 -3.83520000e+06 -1.91980000e+05 5.35720000e+06 3.54280000e+10 -2.34302606e+00 -3.58435590e-02
39231 4.31670000e+06 -3.68650000e+06 -4.84030000e+05 5.69720000e+06 2.28500000e+10 -7.06816809e-01 -8.50618188e-02
39238 -3.88480000e+06 -3.70490000e+06 -3.71600000e+05 5.38110000e+06 3.64440000e+10 -2.37989323e+00 -6.91115169e-02
39314 -5.30890000e+06 -2.85980000e+06 1.01260000e+06 6.11460000e+06 7.80840000e+09 -2.64748169e+00 1.66370069e-01
39315 -4.68410000e+06 -3.18430000e+06 -4.49070000e+05 5.68170000e+06 2.05240000e+10 -2.54454564e+00 -7.91204879e-02
